round,domain_idx,rsum_i,n_fold_i2t_r1,n_fold_t2i_r1,i2t_r1,t2i_r1,n_fold_i2t_r5,n_fold_t2i_r5,i2t_r5,t2i_r5
0,0,70.12982744453575,18.0,26.0,10.599835661462613,15.52999178307313,76.0,90.0,31.963845521774857,57.43631881676253
0,1,73.74581939799332,18.0,32.0,11.2876254180602,12.45819397993311,72.0,88.0,28.59531772575251,45.31772575250836
0,2,84.20396600566572,24.0,34.0,13.031161473087819,13.172804532577903,72.0,78.0,13.031161473087819,59.419263456090654
0,3,79.63713080168776,20.0,32.0,10.68917018284107,16.947960618846693,80.0,96.0,27.28551336146273,53.09423347398031
0,4,78.4147557328016,18.0,32.0,14.755732801595215,13.659022931206382,68.0,84.0,31.405782652043868,42.472582253240276
1,0,53.117502054231714,16.0,16.0,10.84634346754314,10.271158586688578,72.0,72.0,26.29416598192276,52.999178307313066
1,1,57.06354515050167,20.0,18.0,10.033444816053512,9.03010033444816,66.0,70.0,26.254180602006688,22.49163879598662
1,2,75.03682719546742,22.0,24.0,14.51841359773371,14.51841359773371,72.0,68.0,34.98583569405099,50.4957507082153
1,3,51.08016877637131,20.0,18.0,4.289732770745429,8.79043600562588,74.0,76.0,27.426160337552744,34.24753867791843
1,4,52.2333000997009,16.0,14.0,11.964107676969093,10.269192422731805,68.0,68.0,12.362911266201396,40.17946161515454
0,0,69.39030402629416,18.0,26.0,10.599835661462613,14.790468364831552,76.0,90.0,32.04601479046836,55.95727198027937
0,1,72.49163879598662,18.0,32.0,10.953177257525084,11.538461538461538,72.0,88.0,28.51170568561873,42.391304347826086
0,2,83.74504249291785,24.0,30.0,13.031161473087819,16.71388101983003,72.0,78.0,13.031161473087819,60.26912181303116
0,3,84.76230661040788,20.0,36.0,10.68917018284107,18.07313642756681,80.0,94.0,27.144866385372715,54.360056258790436
0,4,79.41176470588235,18.0,32.0,14.85543369890329,14.556331006979063,68.0,84.0,31.405782652043868,45.2642073778664
1,0,57.117502054231714,18.0,18.0,10.84634346754314,10.271158586688578,72.0,68.0,27.773212818405916,53.82087099424815
1,1,55.06354515050167,18.0,18.0,10.033444816053512,9.03010033444816,64.0,72.0,23.076923076923077,20.735785953177256
1,2,75.03682719546742,22.0,24.0,14.51841359773371,14.51841359773371,72.0,70.0,34.065155807365436,46.671388101983005
1,3,49.150492264416314,20.0,16.0,4.289732770745429,8.860759493670885,72.0,76.0,26.933895921237692,33.755274261603375
1,4,50.2333000997009,14.0,14.0,11.964107676969093,10.269192422731805,68.0,68.0,12.063808574277168,40.47856430707876
