round,domain_idx,rsum_i,n_fold_i2t_r1,n_fold_t2i_r1,i2t_r1,t2i_r1,n_fold_i2t_r5,n_fold_t2i_r5,i2t_r5,t2i_r5
0,0,55.44617912900575,18.0,16.0,10.106820049301561,11.33935907970419,68.0,72.0,33.52506162695152,41.41331142152835
0,1,44.80602006688963,16.0,12.0,7.274247491638796,9.531772575250836,68.0,66.0,34.69899665551839,18.31103678929766
0,2,57.21246458923513,20.0,12.0,5.311614730878187,19.900849858356942,72.0,78.0,14.164305949008499,47.946175637393765
0,3,57.338959212376935,18.0,20.0,11.181434599156118,8.157524613220815,70.0,74.0,24.050632911392405,40.57665260196906
0,4,51.236291126620145,16.0,14.0,11.465603190428714,9.770687936191425,68.0,74.0,35.294117647058826,39.0827517447657
1,0,59.61051766639277,18.0,20.0,10.435497124075596,11.175020542317174,68.0,76.0,33.442892358258014,41.495480690221854
1,1,44.72240802675585,16.0,12.0,7.190635451505017,9.531772575250836,68.0,70.0,34.531772575250834,17.809364548494983
1,2,56.008498583569406,20.0,12.0,5.240793201133145,18.76770538243626,72.0,78.0,13.951841359773372,47.59206798866855
1,3,59.26863572433193,18.0,22.0,11.181434599156118,8.08720112517581,70.0,74.0,24.12095639943741,40.43600562587904
1,4,50.43868394815553,16.0,14.0,11.066799601196411,9.371884346959122,68.0,74.0,35.294117647058826,38.2851445663011
2,0,59.774856203779784,18.0,20.0,10.435497124075596,11.33935907970419,68.0,76.0,33.3607230895645,41.33114215283484
2,1,44.63879598662207,16.0,12.0,7.190635451505017,9.448160535117056,68.0,70.0,34.69899665551839,17.892976588628763
2,2,55.93767705382436,20.0,12.0,5.240793201133145,18.69688385269122,72.0,78.0,13.951841359773372,47.6628895184136
2,3,59.26863572433193,18.0,22.0,11.181434599156118,8.08720112517581,70.0,74.0,24.261603375527425,40.43600562587904
2,4,50.03988035892323,16.0,14.0,11.066799601196411,8.97308075772682,68.0,74.0,35.19441674975075,38.584247258225325
3,0,59.857025472473296,18.0,20.0,10.435497124075596,11.421528348397699,68.0,76.0,33.442892358258014,41.495480690221854
3,1,44.63879598662207,16.0,12.0,7.190635451505017,9.448160535117056,68.0,70.0,34.531772575250834,17.642140468227424
3,2,56.15014164305949,20.0,12.0,5.169971671388102,18.980169971671387,72.0,78.0,13.951841359773372,47.804532577903686
3,3,59.198312236286924,18.0,22.0,11.181434599156118,8.016877637130802,70.0,74.0,24.050632911392405,40.225035161744024
3,4,50.23928215353938,16.0,14.0,10.967098703888334,9.272183449651047,68.0,74.0,35.294117647058826,38.185443668993024
4,0,59.69268693508628,18.0,20.0,10.435497124075596,11.257189811010681,68.0,76.0,33.3607230895645,41.41331142152835
4,1,44.72240802675585,16.0,12.0,7.190635451505017,9.531772575250836,68.0,70.0,34.448160535117054,17.642140468227424
4,2,58.07932011331445,20.0,14.0,5.240793201133145,18.838526912181305,72.0,78.0,13.951841359773372,47.59206798866855
4,3,59.12798874824191,18.0,22.0,11.181434599156118,7.946554149085794,70.0,74.0,24.050632911392405,40.225035161744024
4,4,50.1395812562313,16.0,14.0,10.967098703888334,9.172482552342972,68.0,74.0,35.294117647058826,38.48454636091725
5,0,59.61051766639277,18.0,20.0,10.435497124075596,11.175020542317174,68.0,76.0,33.3607230895645,41.33114215283484
5,1,44.72240802675585,16.0,12.0,7.190635451505017,9.531772575250836,68.0,70.0,34.448160535117054,17.642140468227424
5,2,58.07932011331445,20.0,14.0,5.240793201133145,18.838526912181305,72.0,78.0,13.951841359773372,47.6628895184136
5,3,59.26863572433193,18.0,22.0,11.181434599156118,8.08720112517581,70.0,74.0,24.050632911392405,40.15471167369901
5,4,50.1395812562313,16.0,14.0,10.967098703888334,9.172482552342972,68.0,74.0,35.294117647058826,38.48454636091725
6,0,59.61051766639277,18.0,20.0,10.435497124075596,11.175020542317174,68.0,76.0,33.3607230895645,41.33114215283484
6,1,44.72240802675585,16.0,12.0,7.190635451505017,9.531772575250836,68.0,70.0,34.448160535117054,17.642140468227424
6,2,58.07932011331445,20.0,14.0,5.240793201133145,18.838526912181305,72.0,78.0,13.951841359773372,47.6628895184136
6,3,59.26863572433193,18.0,22.0,11.181434599156118,8.08720112517581,70.0,74.0,24.050632911392405,40.15471167369901
6,4,50.1395812562313,16.0,14.0,10.967098703888334,9.172482552342972,68.0,74.0,35.294117647058826,38.48454636091725
7,0,59.61051766639277,18.0,20.0,10.435497124075596,11.175020542317174,68.0,76.0,33.3607230895645,41.33114215283484
7,1,44.72240802675585,16.0,12.0,7.190635451505017,9.531772575250836,68.0,70.0,34.448160535117054,17.642140468227424
7,2,58.07932011331445,20.0,14.0,5.240793201133145,18.838526912181305,72.0,78.0,13.951841359773372,47.6628895184136
7,3,59.26863572433193,18.0,22.0,11.181434599156118,8.08720112517581,70.0,74.0,24.050632911392405,40.15471167369901
7,4,50.1395812562313,16.0,14.0,10.967098703888334,9.172482552342972,68.0,74.0,35.294117647058826,38.48454636091725
8,0,59.61051766639277,18.0,20.0,10.435497124075596,11.175020542317174,68.0,76.0,33.3607230895645,41.33114215283484
8,1,44.72240802675585,16.0,12.0,7.190635451505017,9.531772575250836,68.0,70.0,34.448160535117054,17.642140468227424
8,2,58.07932011331445,20.0,14.0,5.240793201133145,18.838526912181305,72.0,78.0,13.951841359773372,47.6628895184136
8,3,59.26863572433193,18.0,22.0,11.181434599156118,8.08720112517581,70.0,74.0,24.050632911392405,40.15471167369901
8,4,50.1395812562313,16.0,14.0,10.967098703888334,9.172482552342972,68.0,74.0,35.294117647058826,38.48454636091725
9,0,59.61051766639277,18.0,20.0,10.435497124075596,11.175020542317174,68.0,76.0,33.3607230895645,41.33114215283484
9,1,44.72240802675585,16.0,12.0,7.190635451505017,9.531772575250836,68.0,70.0,34.448160535117054,17.642140468227424
9,2,58.07932011331445,20.0,14.0,5.240793201133145,18.838526912181305,72.0,78.0,13.951841359773372,47.6628895184136
9,3,59.26863572433193,18.0,22.0,11.181434599156118,8.08720112517581,70.0,74.0,24.050632911392405,40.15471167369901
9,4,50.1395812562313,16.0,14.0,10.967098703888334,9.172482552342972,68.0,74.0,35.294117647058826,38.48454636091725
10,0,59.61051766639277,18.0,20.0,10.435497124075596,11.175020542317174,68.0,76.0,33.3607230895645,41.33114215283484
10,1,44.72240802675585,16.0,12.0,7.190635451505017,9.531772575250836,68.0,70.0,34.448160535117054,17.642140468227424
10,2,58.07932011331445,20.0,14.0,5.240793201133145,18.838526912181305,72.0,78.0,13.951841359773372,47.6628895184136
10,3,59.26863572433193,18.0,22.0,11.181434599156118,8.08720112517581,70.0,74.0,24.050632911392405,40.15471167369901
10,4,50.1395812562313,16.0,14.0,10.967098703888334,9.172482552342972,68.0,74.0,35.294117647058826,38.48454636091725
11,0,59.61051766639277,18.0,20.0,10.435497124075596,11.175020542317174,68.0,76.0,33.3607230895645,41.33114215283484
11,1,44.72240802675585,16.0,12.0,7.190635451505017,9.531772575250836,68.0,70.0,34.448160535117054,17.642140468227424
