round,client_id,domain_idx,rsum_i,n_fold_i2t_r1,n_fold_t2i_r1,i2t_r1,t2i_r1,n_fold_i2t_r5,n_fold_t2i_r5,i2t_r5,t2i_r5
0,10,0,40.6211049906841,8.641975308641975,9.300411522633743,12.161051766639277,10.517666392769105,25.925925925925924,35.06172839506173,25.554642563681185,33.52506162695152
0,10,1,37.05678621905655,9.874476987447698,10.0418410041841,8.444816053511706,8.695652173913043,34.81171548117155,27.615062761506277,35.869565217391305,20.735785953177256
0,10,2,50.67466296988327,11.48936170212766,14.822695035460992,10.694050991501417,13.668555240793202,31.276595744680854,41.34751773049645,27.124645892351275,38.03116147308782
0,10,3,43.491115469186425,11.619718309859154,10.56338028169014,11.181434599156118,10.126582278481013,39.71830985915493,30.492957746478872,42.82700421940928,27.28551336146273
0,10,4,47.53359920239282,13.6,11.8,11.56530408773679,10.568295114656031,42.3,42.9,36.59022931206381,42.3728813559322
0,11,0,38.32090649948771,8.88888888888889,9.382716049382717,9.860312243221035,10.18898931799507,36.95473251028807,32.674897119341566,29.498767460969596,28.92358258011504
0,11,1,37.642630245868375,11.548117154811717,9.03765690376569,9.280936454849499,7.775919732441472,27.615062761506277,36.23430962343097,26.00334448160535,33.862876254180605
0,11,2,49.468587386735784,13.546099290780143,11.27659574468085,11.118980169971671,13.526912181303116,30.567375886524825,40.99290780141844,41.5014164305949,39.94334277620396
0,11,3,46.30653117014323,10.774647887323946,13.169014084507044,11.11111111111111,11.251758087201125,34.78873239436619,43.66197183098591,27.49648382559775,41.068917018284104
0,11,4,34.15004985044865,7.5,10.0,7.178464606181455,9.471585244267198,15.3,36.7,7.377866400797608,33.100697906281155
0,12,0,40.04876052899426,10.20576131687243,9.465020576131687,10.271158586688578,10.106820049301561,37.860082304526756,35.390946502057616,39.359079704190634,32.539030402629415
0,12,1,37.557688809280585,7.94979079497908,11.04602510460251,8.862876254180602,9.698996655518394,37.57322175732217,39.581589958159,44.147157190635454,40.13377926421405
0,12,2,40.96216824382698,9.148936170212767,10.141843971631205,9.490084985835693,12.181303116147308,31.489361702127656,34.11347517730496,35.69405099150141,33.640226628895185
0,12,3,43.14009231195895,13.098591549295776,9.507042253521126,11.673699015471167,8.860759493670885,42.25352112676056,28.23943661971831,35.372714486638536,28.340365682137833
0,12,4,41.24436689930209,11.2,11.5,8.075772681954138,10.468594217347956,40.9,38.3,42.871385842472584,41.1764705882353
0,13,0,35.115358214052634,7.736625514403292,9.958847736625515,7.641741988496302,9.778142974527526,38.18930041152263,37.20164609053498,39.112571898110104,33.196384552177484
0,13,1,38.06041057359958,9.121338912133892,11.12970711297071,9.03010033444816,8.779264214046822,40.669456066945614,37.23849372384937,37.458193979933114,40.551839464882946
0,13,2,39.902457155485905,9.21985815602837,11.914893617021274,9.206798866855523,9.560906515580736,31.914893617021278,38.93617021276596,9.206798866855523,36.11898016997167
0,13,3,40.39361343871952,10.985915492957746,8.873239436619718,11.11111111111111,9.423347398030943,26.056338028169016,32.3943661971831,15.752461322081576,23.769338959212376
