round,domain_idx,rsum_i,n_fold_i2t_r1,n_fold_t2i_r1,i2t_r1,t2i_r1,n_fold_i2t_r5,n_fold_t2i_r5,i2t_r5,t2i_r5
0,0,70.54067378800329,18.0,26.0,10.517666392769105,16.02300739523418,78.0,92.0,32.29252259654889,55.2999178307313
0,1,73.99665551839465,18.0,32.0,11.036789297658864,12.959866220735785,74.0,86.0,28.010033444816052,43.47826086956522
0,2,86.38243626062322,26.0,30.0,13.031161473087819,17.35127478753541,72.0,78.0,13.101983002832862,59.49008498583569
0,3,83.0436005625879,20.0,34.0,10.68917018284107,18.354430379746834,80.0,96.0,27.848101265822784,53.9381153305204
0,4,83.99800598205384,18.0,32.0,15.653040877367896,18.344965104685944,68.0,84.0,31.405782652043868,43.36989032901296
1,0,53.117502054231714,16.0,16.0,10.84634346754314,10.271158586688578,72.0,72.0,28.92358258011504,55.95727198027937
1,1,53.06354515050167,16.0,18.0,10.033444816053512,9.03010033444816,66.0,70.0,26.839464882943144,22.40802675585284
1,2,71.03682719546742,20.0,22.0,14.51841359773371,14.51841359773371,72.0,68.0,33.4985835694051,44.61756373937677
1,3,49.150492264416314,20.0,16.0,4.289732770745429,8.860759493670885,74.0,76.0,27.426160337552744,33.40365682137834
1,4,52.2333000997009,16.0,14.0,11.964107676969093,10.269192422731805,68.0,66.0,11.964107676969093,40.27916251246261
2,0,58.62448644207067,22.0,16.0,10.353327855382087,10.271158586688578,64.0,74.0,32.86770747740345,42.15283483976992
2,1,57.06354515050167,22.0,16.0,10.033444816053512,9.03010033444816,62.0,72.0,34.11371237458194,30.016722408026755
2,2,72.96600566572238,20.0,24.0,14.44759206798867,14.51841359773371,72.0,78.0,33.78186968838527,44.05099150141643
2,3,54.9789029535865,20.0,20.0,4.289732770745429,10.68917018284107,72.0,80.0,36.990154711673696,33.68495077355837
2,4,60.2333000997009,16.0,22.0,11.964107676969093,10.269192422731805,64.0,66.0,19.641076769690926,32.901296111665005
3,0,60.62448644207067,24.0,16.0,10.353327855382087,10.271158586688578,64.0,70.0,22.925225965488906,42.15283483976992
3,1,59.06354515050167,24.0,16.0,10.033444816053512,9.03010033444816,62.0,72.0,19.565217391304348,30.016722408026755
3,2,68.8583569405099,20.0,24.0,10.339943342776204,14.51841359773371,72.0,80.0,35.977337110481585,44.05099150141643
3,3,61.83122362869198,22.0,20.0,8.860759493670885,10.970464135021096,76.0,80.0,48.66385372714487,34.036568213783404
3,4,54.2333000997009,14.0,18.0,11.964107676969093,10.269192422731805,68.0,70.0,18.64406779661017,32.901296111665005
4,0,54.8430566967954,16.0,16.0,12.57189811010682,10.271158586688578,72.0,72.0,23.007395234182415,42.31717337715694
4,1,55.06354515050167,20.0,16.0,10.033444816053512,9.03010033444816,66.0,72.0,19.648829431438127,30.016722408026755
4,2,70.8583569405099,20.0,26.0,10.339943342776204,14.51841359773371,66.0,80.0,50.07082152974504,44.05099150141643
4,3,65.41772151898735,22.0,20.0,12.447257383966244,10.970464135021096,76.0,76.0,44.37412095639944,34.036568213783404
4,4,60.731804586241275,14.0,24.0,12.46261216350947,10.269192422731805,66.0,68.0,32.60219341974078,32.901296111665005
5,0,62.54231717337716,24.0,18.0,10.271158586688578,10.271158586688578,74.0,64.0,31.470829909613805,35.99013968775678
5,1,56.56187290969899,16.0,22.0,9.531772575250836,9.03010033444816,62.0,68.0,35.45150501672241,11.120401337792643
5,2,68.48725212464589,24.0,18.0,17.847025495750707,8.640226628895185,62.0,72.0,55.38243626062323,35.48158640226629
5,3,63.729957805907176,22.0,20.0,12.09563994374121,9.634317862165963,74.0,70.0,34.458509142053444,42.05344585091421
5,4,44.62612163509472,8.0,12.0,11.266201395812562,13.359920239282154,62.0,68.0,16.550348953140578,39.780658025922236
