round,client_id,domain_idx,rsum_i,n_fold_i2t_r1,n_fold_t2i_r1,i2t_r1,t2i_r1,n_fold_i2t_r5,n_fold_t2i_r5,i2t_r5,t2i_r5
0,10,0,62.58802763322072,11.11111111111111,23.703703703703702,8.134757600657354,19.63845521774856,43.374485596707814,61.64609053497943,42.72801972062449,58.34018077239113
0,10,1,63.48840626355634,10.96234309623431,21.171548117154813,9.949832775919733,21.40468227424749,35.23012552301255,61.75732217573221,11.2876254180602,51.67224080267559
0,10,2,63.15361742310089,13.191489361702128,23.262411347517734,13.031161473087819,13.668555240793202,14.468085106382977,64.39716312056737,13.031161473087819,60.8356940509915
0,10,3,72.48420197698144,10.56338028169014,25.70422535211268,8.860759493670885,27.355836849507735,33.87323943661972,61.33802816901408,22.433192686357245,60.829817158931085
0,10,4,47.029411764705884,10.5,13.0,11.864406779661017,11.665004985044865,47.3,51.0,48.05583250249252,46.360917248255234
0,11,0,62.58802763322072,11.11111111111111,23.703703703703702,8.134757600657354,19.63845521774856,43.374485596707814,61.64609053497943,42.72801972062449,58.34018077239113
0,11,1,63.48840626355634,10.96234309623431,21.171548117154813,9.949832775919733,21.40468227424749,35.23012552301255,61.75732217573221,11.2876254180602,51.67224080267559
0,11,2,63.15361742310089,13.191489361702128,23.262411347517734,13.031161473087819,13.668555240793202,14.468085106382977,64.39716312056737,13.031161473087819,60.8356940509915
0,11,3,72.48420197698144,10.56338028169014,25.70422535211268,8.860759493670885,27.355836849507735,33.87323943661972,61.33802816901408,22.433192686357245,60.829817158931085
0,11,4,47.029411764705884,10.5,13.0,11.864406779661017,11.665004985044865,47.3,51.0,48.05583250249252,46.360917248255234
0,12,0,62.58802763322072,11.11111111111111,23.703703703703702,8.134757600657354,19.63845521774856,43.374485596707814,61.64609053497943,42.72801972062449,58.34018077239113
0,12,1,63.48840626355634,10.96234309623431,21.171548117154813,9.949832775919733,21.40468227424749,35.23012552301255,61.75732217573221,11.2876254180602,51.67224080267559
0,12,2,63.15361742310089,13.191489361702128,23.262411347517734,13.031161473087819,13.668555240793202,14.468085106382977,64.39716312056737,13.031161473087819,60.8356940509915
0,12,3,72.48420197698144,10.56338028169014,25.70422535211268,8.860759493670885,27.355836849507735,33.87323943661972,61.33802816901408,22.433192686357245,60.829817158931085
0,12,4,47.029411764705884,10.5,13.0,11.864406779661017,11.665004985044865,47.3,51.0,48.05583250249252,46.360917248255234
0,13,0,62.58802763322072,11.11111111111111,23.703703703703702,8.134757600657354,19.63845521774856,43.374485596707814,61.64609053497943,42.72801972062449,58.34018077239113
0,13,1,63.48840626355634,10.96234309623431,21.171548117154813,9.949832775919733,21.40468227424749,35.23012552301255,61.75732217573221,11.2876254180602,51.67224080267559
0,13,2,63.15361742310089,13.191489361702128,23.262411347517734,13.031161473087819,13.668555240793202,14.468085106382977,64.39716312056737,13.031161473087819,60.8356940509915
0,13,3,72.48420197698144,10.56338028169014,25.70422535211268,8.860759493670885,27.355836849507735,33.87323943661972,61.33802816901408,22.433192686357245,60.829817158931085
0,13,4,47.029411764705884,10.5,13.0,11.864406779661017,11.665004985044865,47.3,51.0,48.05583250249252,46.360917248255234
0,14,0,62.58802763322072,11.11111111111111,23.703703703703702,8.134757600657354,19.63845521774856,43.374485596707814,61.64609053497943,42.72801972062449,58.34018077239113
0,14,1,63.48840626355634,10.96234309623431,21.171548117154813,9.949832775919733,21.40468227424749,35.23012552301255,61.75732217573221,11.2876254180602,51.67224080267559
0,14,2,63.15361742310089,13.191489361702128,23.262411347517734,13.031161473087819,13.668555240793202,14.468085106382977,64.39716312056737,13.031161473087819,60.8356940509915
0,14,3,72.48420197698144,10.56338028169014,25.70422535211268,8.860759493670885,27.355836849507735,33.87323943661972,61.33802816901408,22.433192686357245,60.829817158931085
0,14,4,47.029411764705884,10.5,13.0,11.864406779661017,11.665004985044865,47.3,51.0,48.05583250249252,46.360917248255234
1,10,0,56.419110610656304,11.358024691358025,19.670781893004115,9.285127362366476,16.10517666392769,40.49382716049383,57.942386831275726,44.28923582580115,51.76663927691043
1,10,1,58.30327031527686,9.874476987447698,20.83682008368201,9.949832775919733,17.642140468227424,34.64435146443515,59.581589958159,10.451505016722408,52.0066889632107
1,10,2,71.01822273119964,13.475177304964541,25.390070921985814,13.031161473087819,19.121813031161473,15.815602836879432,65.53191489361703,13.881019830028329,60.198300283286116
1,10,3,70.51375765139359,10.492957746478872,24.788732394366196,9.774964838255977,25.457102672292546,34.57746478873239,62.25352112676056,21.80028129395218,59.07172995780591
1,10,4,49.42462612163509,10.9,13.4,14.755732801595215,10.36889332003988,40.2,52.4,46.360917248255234,44.466600199401796
1,11,0,56.419110610656304,11.358024691358025,19.670781893004115,9.285127362366476,16.10517666392769,40.49382716049383,57.942386831275726,44.28923582580115,51.76663927691043
1,11,1,58.30327031527686,9.874476987447698,20.83682008368201,9.949832775919733,17.642140468227424,34.64435146443515,59.581589958159,10.451505016722408,52.0066889632107
1,11,2,71.01822273119964,13.475177304964541,25.390070921985814,13.031161473087819,19.121813031161473,15.815602836879432,65.53191489361703,13.881019830028329,60.198300283286116
1,11,3,70.51375765139359,10.492957746478872,24.788732394366196,9.774964838255977,25.457102672292546,34.57746478873239,62.25352112676056,21.80028129395218,59.07172995780591
1,11,4,49.42462612163509,10.9,13.4,14.755732801595215,10.36889332003988,40.2,52.4,46.360917248255234,44.466600199401796
1,12,0,56.419110610656304,11.358024691358025,19.670781893004115,9.285127362366476,16.10517666392769,40.49382716049383,57.942386831275726,44.28923582580115,51.76663927691043
1,12,1,58.30327031527686,9.874476987447698,20.83682008368201,9.949832775919733,17.642140468227424,34.64435146443515,59.581589958159,10.451505016722408,52.0066889632107
1,12,2,71.01822273119964,13.475177304964541,25.390070921985814,13.031161473087819,19.121813031161473,15.815602836879432,65.53191489361703,13.881019830028329,60.198300283286116
1,12,3,70.51375765139359,10.492957746478872,24.788732394366196,9.774964838255977,25.457102672292546,34.57746478873239,62.25352112676056,21.80028129395218,59.07172995780591
1,12,4,49.42462612163509,10.9,13.4,14.755732801595215,10.36889332003988,40.2,52.4,46.360917248255234,44.466600199401796
1,13,0,56.419110610656304,11.358024691358025,19.670781893004115,9.285127362366476,16.10517666392769,40.49382716049383,57.942386831275726,44.28923582580115,51.76663927691043
1,13,1,58.30327031527686,9.874476987447698,20.83682008368201,9.949832775919733,17.642140468227424,34.64435146443515,59.581589958159,10.451505016722408,52.0066889632107
1,13,2,71.01822273119964,13.475177304964541,25.390070921985814,13.031161473087819,19.121813031161473,15.815602836879432,65.53191489361703,13.881019830028329,60.198300283286116
1,13,3,70.51375765139359,10.492957746478872,24.788732394366196,9.774964838255977,25.457102672292546,34.57746478873239,62.25352112676056,21.80028129395218,59.07172995780591
1,13,4,49.42462612163509,10.9,13.4,14.755732801595215,10.36889332003988,40.2,52.4,46.360917248255234,44.466600199401796
1,14,0,56.419110610656304,11.358024691358025,19.670781893004115,9.285127362366476,16.10517666392769,40.49382716049383,57.942386831275726,44.28923582580115,51.76663927691043
1,14,1,58.30327031527686,9.874476987447698,20.83682008368201,9.949832775919733,17.642140468227424,34.64435146443515,59.581589958159,10.451505016722408,52.0066889632107
1,14,2,71.01822273119964,13.475177304964541,25.390070921985814,13.031161473087819,19.121813031161473,15.815602836879432,65.53191489361703,13.881019830028329,60.198300283286116
1,14,3,70.51375765139359,10.492957746478872,24.788732394366196,9.774964838255977,25.457102672292546,34.57746478873239,62.25352112676056,21.80028129395218,59.07172995780591
1,14,4,49.42462612163509,10.9,13.4,14.755732801595215,10.36889332003988,40.2,52.4,46.360917248255234,44.466600199401796
